frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
234,7.8,441132,64,40,44,48,2112,4224,2317,2333,F60D4942
235,7.833333333333333,443465,87,61,4,2,8,16,17,33,4F143B75
236,7.866666666666666,443498,64,40,45,48,2160,4320,2466,2482,3DC08FC8
237,7.9,445980,68,60,42,28,1176,2352,1424,1440,31145CBF
238,7.933333333333334,447420,62,40,48,48,2304,4608,2461,2477,D95F8035
239,7.966666666666667,449897,62,40,46,48,2208,4416,2451,2467,9DE01BC5
240,8.0,452364,60,40,47,48,2256,4512,2475,2491,247B2B2D
241,8.033333333333333,454855,76,76,18,9,162,324,178,194,3234B54E
242,8.066666666666666,455049,60,40,44,48,2112,4224,2399,2415,D77082E1
243,8.1,457464,59,41,45,47,2115,4230,2387,2403,BF884511
244,8.133333333333333,459867,59,41,44,47,2068,4136,2256,2272,DA16356E
245,8.166666666666666,462139,65,55,27,20,540,1080,835,851,FDED8088
246,8.2,462990,59,42,43,46,1978,3956,2202,2218,EFAF884C
247,8.233333333333333,465208,77,63,6,25,150,300,133,149,4CD4F70D
248,8.266666666666667,465357,59,42,44,46,2024,4048,2199,2215,A3582D32
249,8.3,467572,59,40,44,48,2112,4224,2273,2289,6E64636F
250,8.333333333333334,469861,60,40,44,47,2068,4136,2346,2362,B954F915
251,8.366666666666667,472223,59,40,45,48,2160,4320,2383,2399,B3740353
252,8.4,474622,57,40,47,48,2256,4512,2411,2427,D198B6B7
253,8.433333333333334,477049,0,0,0,0,0,0,0,16,00000000
254,8.466666666666667,477065,69,54,30,17,510,1020,786,802,6C3DD9CA
255,8.5,477867,57,40,48,48,2304,4608,2424,2440,13607941
256,8.533333333333333,480307,59,40,47,48,2256,4512,2402,2418,10AB5779
257,8.566666666666666,482725,62,40,45,48,2160,4320,2291,2307,A61045F3
258,8.6,485032,63,40,45,48,2160,4320,2267,2283,A1E7AC4D
259,8.633333333333333,487315,82,45,17,43,731,1462,852,868,10A90E81
260,8.666666666666666,488183,64,41,44,47,2068,4136,2230,2246,687CE0E6
261,8.7,490429,64,41,45,47,2115,4230,2109,2125,597298B1
262,8.733333333333333,492554,75,53,32,20,640,1280,931,947,17CD0BEB
263,8.766666666666667,493501,65,42,44,44,1936,3872,2028,2044,EFF95289
264,8.8,495545,65,42,44,46,2024,4048,2165,2181,38C90BF2
265,8.833333333333334,497726,76,81,1,1,1,2,3,19,7C005C59
266,8.866666666666667,497745,64,40,44,48,2112,4224,2215,2231,DF1262B1
267,8.9,499976,64,40,44,47,2068,4136,2237,2253,D69D09D5
268,8.933333333333334,502229,64,40,44,48,2112,4224,2313,2329,221DD853
269,8.966666666666667,504558,64,40,45,48,2160,4320,2472,2488,93852305
270,9.0,507046,69,50,41,38,1558,3116,1923,1939,2BA64EDA
271,9.033333333333333,508985,69,45,37,43,1591,3182,2114,2130,B55114A1
272,9.066666666666666,511115,62,40,48,48,2304,4608,2470,2486,CA35357A
273,9.1,513601,62,40,46,48,2208,4416,2455,2471,45E78485
